priority,horizon,capability,decision_rationale,success_evidence,dependency
P0,0–2 релиза,"Local RAG + provenance + managed memory","У 12 из 12 scored competitors есть usable/strong RAG; отсутствие блокирует большинство внутренних knowledge use cases","Индексирование локальных источников; citations в trace; project isolation; quality benchmark","Artifact Store, project isolation, model/tool trace"
P0,0–2 релиза,"MCP gateway + connector SDK/registry","Интеграции — крупнейший разрыв с Dify/Flowise/n8n/Sim/Just AI/Copilot; gateway позволяет сохранить контроль","10–15 критичных MCP/HTTP/DB connectors; allowlists; credentials; per-tool approval/audit","HTTP tool, encrypted credentials, RBAC"
P0,0–2 релиза,"Schedules, webhooks и event triggers","Без внешнего запуска canvas остаётся designer demo, а не automation platform","Cron/webhook trigger; idempotency; signing; retry/dead-letter; audit trail","Durable runtime, gateway"
P0,0–2 релиза,"Eval/replay + prompt/model registry","У АГАТ score 0 против 2–4 у production leaders; без regression gate нельзя безопасно менять модели","Golden datasets; trace replay; side-by-side model comparison; release gate","Existing trace schema and immutable process versions"
P1,2–4 релиза,"Benchmark-aware model and worker router","Развивает уникальный fleet moat вместо копирования generic builder features","Hardware profiles; quality/latency/cost benchmark; policy/SLA routing; fallback","Worker telemetry, scheduler, eval datasets"
P1,2–4 релиза,"Risk-tier policy engine for tools and approvals","Превращает approvals + RBAC в enterprise control plane","Policy-as-code; risk labels; four-eyes approval; scoped secrets; deny/allow evidence","RBAC, approval node, audit trace, MCP gateway"
P1,2–4 релиза,"Fleet lifecycle and trust","Закрывает эксплуатационный риск уникальной distributed architecture","Signed workers; enrollment; version/health inventory; staged rollout; drain/cordon","Worker protocol and central node management"
P1,2–4 релиза,"Production data plane","Текущий SQLite/single coordinator ограничивает production adoption","PostgreSQL; HA coordinator; backups; retention/GC; object storage; disaster restore test","Current persistence and Artifact Store"
P2,4–6 релизов,"OTel/SIEM export and enterprise tenancy","Нужно аудиторам и platform operations после доказанного pilot value","GenAI spans; audit export; quotas; SCIM/groups; tenant-level policy","Trace pipeline, Keycloak, production data plane"
Defer,После подтверждения PMF,"Voice, mass channels, full RPA/computer use, 1000 generic connectors","На этих полях Copilot, Just AI, n8n и UiPath имеют дистрибуционный moat; они размывают sovereign-fleet позиционирование","Возвращаться только при повторяемом paid demand от целевого сегмента","Product-market evidence"
