product,target_audience,positioning,strongest_capabilities,main_gap_vs_agat,audience_proxy_basis,source_ids
АГАТ,"IT/AI platform-команды организаций с локальными данными и разрозненным GPU/CPU-парком","Control plane для внутренних AI-процессов на локальных моделях и разнородном железе","Outbound-only workers; hardware telemetry; visual durable processes; approvals; audit trace","Нет RAG, MCP/connector ecosystem, eval/replay и production HA","Данных о клиентах, пользователях или выручке в репозитории нет; baseline принят как MVP/ранний рынок",agat_docs
Dify,"AI product-команды, разработчики и SMB/enterprise, которым нужен low-code GenAI stack","Open-source LLM app development platform","Visual workflows, RAG, agents, plugins, APIs, self-host","Не управляет распределённым локальным compute fleet и не маршрутизирует по железу","Официальные docs сообщают крупное developer/end-user community; зрелая экосистема плагинов",dify_overview|dify_workflow|dify_plugins
Flowise,"Разработчики и enterprise AI-команды, строящие agentic/RAG applications","Open-source visual platform for AI agents and workflows","Agentflow, loops/branches, HITL, checkpoints, evals, 100+ integrations, air-gap","Нет control plane для разнородных пользовательских worker-узлов","Официальная документация подтверждает team/workspace и enterprise deployment maturity",flowise_intro|flowise_agentflow|flowise_workspaces
n8n,"Operations/IT/RevOps и разработчики автоматизации от SMB до large enterprise","Workflow automation with native AI","1000+ integrations, triggers, durable automation, approvals, governance and scale","Локальные модели — один из узлов, но нет управления их парком и hardware-aware scheduling","Официально заявлено использование advanced features 34% компаний Fortune 500",n8n_ai|n8n_enterprise|n8n_integrations
Sim,"AI builders и продуктовые команды, которым нужен современный visual agent IDE","Open-source AI agent workflow builder","Visual/conversational builder, 1000+ integrations, local models, knowledge, observability, strong HITL","Нет оркестрации разнородного локального compute fleet","Официально заявлено 100k+ builders; продукт моложе лидеров, enterprise proof ограниченнее",sim_intro|sim_hitl|sim_enterprise
Langflow,"Python/AI developers и teams, которым нужен visual prototyping + API deployment","Visual framework for building agents and MCP workflows","Visual graph, Python extensibility, agents, MCP, RAG, API deploy","Менее операционный и enterprise-complete; нет fleet scheduling","Крупная OSS developer ecosystem; enterprise enforcement зависит от дополнительных компонентов",langflow_docs|langflow_hitl|langflow_auth
CrewAI,"Developer teams и enterprises, создающие multi-agent applications code-first","Multi-agent automation framework and enterprise control plane","Agents/crews/flows, memory/knowledge, persistence, observability, policy hooks and deployment","Не visual-first и не управляет локальным железом","Официально заявлено 100k+ certified developers; присутствует enterprise control plane",crewai_docs|crewai_enterprise|crewai_home
LangGraph + LangSmith,"Advanced AI engineering/platform teams с требованиями к runtime, evals и observability","Stateful agent runtime plus lifecycle platform","Durable execution, HITL, deployment, traces, datasets, offline/online evals and enterprise governance","Кодовый стек, а не готовый операторский продукт; нет local fleet control","Широкая LangChain ecosystem и production-oriented enterprise offering",langgraph_overview|langsmith_selfhost|langsmith_eval
AnythingLLM,"Individuals, teams and privacy-sensitive businesses needing local AI workspace","Private local AI workspace with no-code agents and RAG","Local-first, RAG, agent flows, model routing, scheduled tasks, MCP and multi-user","Слабее в long-running process orchestration, approvals, audit and HA","Официальный сайт показывает крупные GitHub/Docker adoption proxies",anythingllm_docs|anythingllm_github|anythingllm_home
Open WebUI,"Local AI users, labs and organizations needing private chat/knowledge platform","Extensible self-hosted AI interface","Ollama/OpenAI-compatible models, RAG, tools/MCP, RBAC/SSO and multi-user scale","Не visual process builder; нет deterministic durable orchestration и fleet scheduler","Официальные docs позиционируют масштаб от одного пользователя до тысяч",openwebui_docs|openwebui_features|openwebui_auth
Just AI Agent Platform,"Российские enterprise-команды, contact centers и интеграторы","Enterprise platform for AI agents and business processes","Visual multi-agent flows, RAG, MCP, triggers, channels/voice, on-prem, RBAC and audit","Нет доказанного hardware-aware distributed worker control plane","Зрелый российский enterprise vendor с on-prem и multichannel distribution",justai_about|justai_enterprise|justai_flow|justai_triggers
Yandex AI Studio + Workflows,"Cloud-first российские разработчики и предприятия в Yandex Cloud","Managed platform for agents, models and serverless workflows","Agent Atelier, MCP Hub, RAG/tools, managed models, triggers, parallel/retry and IAM","Нет self-host/air-gap и управления локальными worker-узлами; Workflows в Preview","Гиперскейлерская дистрибуция и существующая Yandex Cloud customer base",yandex_atelier|yandex_agents|yandex_workflows|yandex_execution
Microsoft Copilot Studio,"Microsoft 365/Power Platform enterprises and citizen developers","Governed enterprise low-code agent platform","1400+ connectors, agent flows, multi-agent, approvals, evals, governance and channels","Cloud/ecosystem lock-in; нет sovereign local model fleet control","Глобальная Microsoft distribution и масштаб enterprise ecosystem",copilot_overview|copilot_flows|copilot_adoption|copilot_dlp
