source_id,product,label,url,evidence,accessed_date
agat_docs,АГАТ,Документация репозитория,repository:docs/README.md,"Текущая архитектура, shipped features и ограничения проверены по README, architecture, processes, local-workers, durable-runtime, identity, traces, web-access и roadmap",2026-08-14
dify_overview,Dify,Dify knowledge/retrieval overview,https://docs.dify.ai/guides/knowledge-base/retrieval,"Open-source LLM platform, mainstream models, prompt orchestration, RAG, agent framework, workflows, APIs and self-deploy",2026-08-14
dify_workflow,Dify,Create a workflow,https://docs.dify.ai/en/guides/application-orchestrate/creating-an-application,"Visual workflow, IF/ELSE, iteration, parallel mode, node test/cache and publish",2026-08-14
dify_plugins,Dify,Plugin marketplace release overview,https://docs.dify.ai/en/develop-plugin/publishing/marketplace-listing/release-overview,"Marketplace distribution and plugin lifecycle",2026-08-14
flowise_intro,Flowise,Flowise introduction,https://docs.flowiseai.com/,"Assistant, Chatflow, Agentflow, visual builder, tracing, evals, HITL, API/SDK/CLI, teams and self-host",2026-08-14
flowise_agentflow,Flowise,Agentflow V2,https://docs.flowiseai.com/using-flowise/agentflowv2,"Loops, conditional branching, multi-agent, HITL and checkpoint-based resume",2026-08-14
flowise_workspaces,Flowise,Workspaces,https://docs.flowiseai.com/using-flowise/workspaces,"Team workspaces and enterprise access controls",2026-08-14
n8n_ai,n8n,n8n AI,https://n8n.io/ai/,"Self-hosted AI workflows, HITL/tool approvals, execution inspection, audit/logging and evals",2026-08-14
n8n_enterprise,n8n,n8n Enterprise,https://n8n.io/enterprise/,"Enterprise deployment and official 34% Fortune 500 adoption claim for advanced features",2026-08-14
n8n_integrations,n8n,n8n integrations,https://n8n.io/integrations/start/,"Official directory states 1000+ apps and services",2026-08-14
sim_intro,Sim,Sim introduction,https://docs.sim.ai/introduction,"Open-source visual/conversational/code builder, 1000+ integrations, Ollama/vLLM, knowledge, observability and self-host",2026-08-14
sim_hitl,Sim,Human in the loop,https://docs.sim.ai/workflows/blocks/human-in-the-loop,"Indefinite pause, mobile approval portal, API/webhook resume, notifications and staged approvals",2026-08-14
sim_enterprise,Sim,Enterprise platform,https://docs.sim.ai/es/platform/enterprise,"SSO, access control, audit logs, retention and data drains",2026-08-14
langflow_docs,Langflow,Langflow documentation,https://docs.langflow.org/,"Open-source Python visual editor with agents, MCP, API and container deployment",2026-08-14
langflow_hitl,Langflow,Human in the loop,https://docs.langflow.org/next/human-in-the-loop,"Checkpoint and approval patterns for tools",2026-08-14
langflow_auth,Langflow,Authorization,https://docs.langflow.org/next/authorization,"Pluggable RBAC; OSS enforcement depends on an authorization plugin",2026-08-14
crewai_docs,CrewAI,CrewAI documentation,https://docs.crewai.com/,"Agents, crews, flows, guardrails, memory, knowledge, observability, persistence and HITL",2026-08-14
crewai_enterprise,CrewAI,CrewAI AMP,https://docs.crewai.com/enterprise/introduction,"Deploy, monitor and scale, traces/logs, tool repository, webhook streaming and Crew Studio",2026-08-14
crewai_home,CrewAI,CrewAI homepage,https://crewai.com/,"Control plane, RBAC/audit/IAM, HITL, policy hooks and enterprise messaging",2026-08-14
langgraph_overview,LangGraph,LangGraph overview,https://docs.langchain.com/oss/python/langgraph/overview,"Durable execution, persistence, streaming and HITL",2026-08-14
langsmith_selfhost,LangGraph + LangSmith,LangSmith self-hosting,https://docs.langchain.com/langsmith/self-hosted,"Self-hosted observability, evaluation and deployment with Kubernetes/Helm control/data planes",2026-08-14
langsmith_eval,LangGraph + LangSmith,LangSmith evaluation,https://docs.langchain.com/langsmith/evaluation,"Datasets, offline/online evaluation, regression, backtests and production monitoring",2026-08-14
anythingllm_docs,AnythingLLM,AnythingLLM docs,https://docs.anythingllm.com/,"Agent Flows, model router, memories, MCP, local providers and RAG",2026-08-14
anythingllm_github,AnythingLLM,AnythingLLM GitHub README,https://github.com/Mintplex-Labs/anything-llm/blob/master/README.md?plain=1,"Local-first, no-code agents, model routing, scheduled tasks, permissions and document pipelines",2026-08-14
anythingllm_home,AnythingLLM,AnythingLLM homepage,https://anythingllm.com/,"On-device/local deployment and public GitHub/Docker adoption proxies",2026-08-14
openwebui_docs,Open WebUI,Open WebUI docs,https://docs.openwebui.com/,"Self-hosted/offline platform for Ollama and OpenAI-compatible local/cloud models",2026-08-14
openwebui_features,Open WebUI,Open WebUI features,https://docs.openwebui.com/features/,"Knowledge, tools, tasks, MCP/OpenAPI and extensibility",2026-08-14
openwebui_auth,Open WebUI,Authentication and access,https://docs.openwebui.com/features/authentication-access/,"RBAC, groups, SSO, LDAP, SCIM and API keys",2026-08-14
justai_about,Just AI Agent Platform,About Agent Platform,https://docs.agentplatform.just-ai.com/about/,"Unified platform for assistants, process automation and multi-agent systems",2026-08-14
justai_enterprise,Just AI Agent Platform,Enterprise Agent Platform,https://just-ai.com/agent-platform-enterprise,"Dedicated cloud/on-prem, local models, builder, connectors, RAG, observability, security and channels",2026-08-14
justai_flow,Just AI Agent Platform,Agent in flow,https://docs.agentplatform.just-ai.com/blocks/agent/agent-in-flow/,"Multi-agent orchestration and parallel agent launch",2026-08-14
justai_triggers,Just AI Agent Platform,Triggers,https://docs.agentplatform.just-ai.com/blocks/trigger/,"Message, scheduler, webhook and IMAP triggers",2026-08-14
yandex_atelier,Yandex AI Studio + Workflows,Agent Atelier,https://aistudio.yandex.ru/ru/agent-atelier,"Visual low-code agents, MCP Hub, workflows, text/voice, RAG and web/file search",2026-08-14
yandex_agents,Yandex AI Studio + Workflows,Yandex AI Studio agents,https://aistudio.yandex.ru/docs/en/ai-studio/concepts/agents/index.html,"Responses/Realtime APIs, memory, tools, file/web search and MCP",2026-08-14
yandex_workflows,Yandex AI Studio + Workflows,Workflows concepts,https://yandex.cloud/en/docs/serverless-integrations/concepts/workflows/workflow,"Event-driven workflows, retries, Parallel and Foreach",2026-08-14
yandex_execution,Yandex AI Studio + Workflows,Workflow execution,https://yandex.cloud/en/docs/serverless-integrations/concepts/workflows/execution,"API, schedule, HTTPS and EventRouter triggers with IAM",2026-08-14
copilot_overview,Microsoft Copilot Studio,Copilot Studio overview,https://learn.microsoft.com/en-us/microsoft-copilot-studio/fundamentals-what-is-copilot-studio,"Graphical low-code agents/flows, connectors, tools, human review, triggers and schedules",2026-08-14
copilot_flows,Microsoft Copilot Studio,Agent flows,https://learn.microsoft.com/en-us/microsoft-copilot-studio/flows-overview,"Deterministic flows, AI actions, HITL, branch/loop/child flows, versions and import/export",2026-08-14
copilot_adoption,Microsoft Copilot Studio,Adoption pattern,https://learn.microsoft.com/en-us/agents/adoption-patterns/pattern-workplace-it-services,"1400+ connectors, multi-agent, approvals, governance and evaluation patterns",2026-08-14
copilot_dlp,Microsoft Copilot Studio,Data loss prevention,https://learn.microsoft.com/en-us/microsoft-copilot-studio/admin-data-loss-prevention,"Enterprise DLP governance controls",2026-08-14
uipath_maestro,UiPath,UiPath Maestro,https://www.uipath.com/platform/agentic-automation/business-orchestration,"Adjacent enterprise orchestration of agents, robots and people with BPMN, governance and observability",2026-08-14
