product,cluster,comparison_type,visual_workflow,multi_agent,workflow_breadth,hitl,durability,local_selfhost,distributed_fleet,resource_routing,rag_memory,integrations_mcp,observability,evaluation,security_governance,enterprise_scale,end_user_channels,audience_maturity
АГАТ,Суверенная AI-оркестрация,Baseline,4,3,3,3,3,4,4,2,0,1,3,0,3,1,1,1
Dify,Visual AI builder,Прямой,4,3,4,2,2,4,0,2,4,4,3,3,3,3,4,4
Flowise,Visual AI builder,Прямой,4,4,4,4,3,4,0,1,4,4,4,4,4,4,3,4
n8n,Business automation,Прямой/заменитель,4,3,4,4,4,3,0,1,3,4,4,3,4,4,4,5
Sim,Visual AI builder,Прямой,4,3,4,4,3,4,0,2,4,4,4,2,4,3,4,3
Langflow,Visual AI builder,Прямой,4,3,3,3,2,4,0,1,4,4,3,2,2,3,3,4
CrewAI,Agent runtime/control plane,Соседний,3,4,4,3,3,3,0,2,4,4,4,3,4,4,3,4
LangGraph + LangSmith,Agent runtime/control plane,Соседний,2,4,4,4,4,3,0,3,4,4,4,4,4,4,3,5
AnythingLLM,Local AI workspace,Заменитель,3,2,2,1,1,4,0,3,4,3,2,1,2,2,3,4
Open WebUI,Local AI workspace,Заменитель,1,2,2,2,2,4,0,2,4,4,3,2,4,3,4,4
Just AI Agent Platform,Enterprise agent platform,Прямой (РФ),4,4,4,3,3,4,0,2,4,4,3,2,4,4,4,4
Yandex AI Studio + Workflows,Cloud AI platform,Соседний (РФ),4,3,4,2,4,1,0,3,4,4,4,3,4,4,4,5
Microsoft Copilot Studio,Enterprise agent platform,Соседний,4,4,4,4,4,1,0,3,4,4,4,4,4,4,4,5
