product,segment,audience,lead,agat_wedge,feature_gap,audience_lead
Microsoft Copilot Studio,Enterprise ecosystem,"Microsoft 365/Power Platform enterprises и citizen developers","1400+ connectors, governance, evals, channels, distribution","Изолированный local execution plane вне cloud-first estate",0.283333,4
Flowise,Visual AI builder,Developer и enterprise AI teams,"Agentflow, HITL, checkpoints, evals, RAG, integrations",Нет distributed hardware control plane,0.266667,3
LangGraph + LangSmith,Agent runtime/control plane,Advanced AI engineering/platform teams,"Durable runtime, traces, datasets, evals, production deploy",Не готовый visual operator product и нет local fleet,0.266667,4
n8n,Business automation,IT/ops/RevOps от SMB до enterprise,"1000+ integrations, triggers, reliable automation, governance","Local models — nodes, не управляемый compute fleet",0.233333,4
Sim,Visual AI builder,AI builders и product teams,"Modern UX, 1000+ integrations, local models, HITL",Нет fleet scheduler и hardware-aware operations,0.233333,2
Just AI Agent Platform,Enterprise agent platform (РФ),"Enterprise, contact centers, integrators","On-prem, multichannel/voice, flows, RAG, MCP, security",Нет доказанного distributed hardware scheduler,0.233333,3
CrewAI,Agent runtime/control plane,Code-first developer и enterprise teams,"Multi-agent, memory, persistence, observability, policy hooks",Не visual-first и не управляет локальным железом,0.216667,3
Yandex AI Studio + Workflows,Cloud AI platform (РФ),Yandex Cloud developers и enterprises,"Managed models, agents, workflows, IAM и cloud services",Нет self-host/air-gap и local worker control,0.216667,4
Dify,Visual AI builder,"AI product teams, developers, SMB/enterprise","RAG, plugins, workflows и app delivery",Нет distributed fleet и hardware routing,0.166667,3
Langflow,Visual developer framework,Python/AI developers,"Python extensibility, MCP, RAG и API deploy","Меньше operator/governance layer; нет fleet",0.1,3
Open WebUI,Local AI workspace,"Private AI users, labs и organizations","Local chat, RAG, MCP/tools, RBAC/SSO",Нет visual durable process orchestration,0.066667,3
AnythingLLM,Local AI workspace,Individuals и privacy-sensitive teams,"Local-first RAG, agent flows, model routing и desktop","Слабее approvals, audit, durability и fleet operations",-0.033333,3
