category_id,category_ru,definition,weight_sovereign,weight_enterprise
visual_workflow,Визуальный конструктор,"Canvas, drag-and-drop, тестирование и публикация процессов",6,6
multi_agent,Мультиагентность,"Специализация агентов, передача управления и координация",6,6
workflow_breadth,Широта workflow,"Условия, циклы, параллельность, триггеры, таймеры и подпроцессы",7,9
hitl,HITL и согласования,"Паузы, формы, approvals, эскалации и возобновление",6,8
durability,Надёжное исполнение,"Персистентность, recovery, retry, version pinning и long-running",7,9
local_selfhost,Локальность и self-host,"Локальные модели, on-prem, offline/air-gap и контроль данных",9,2
distributed_fleet,Распределённый парк моделей,"Управление разнородными удалёнными worker-узлами без публикации model endpoint",14,1
resource_routing,Роутинг по ресурсам и качеству,"Выбор модели/worker по загрузке, железу, качеству, цене и SLA",9,4
rag_memory,RAG и память,"Knowledge bases, retrieval, provenance и управляемая память",7,8
integrations_mcp,Интеграции и MCP,"Коннекторы, MCP, API, marketplace и расширяемость",7,12
observability,Наблюдаемость,"Трейсы, логи, артефакты, метрики и экспорт телеметрии",6,8
evaluation,Оценка качества,"Datasets, replay, evals, regression и prompt/model lifecycle",5,7
security_governance,Безопасность и governance,"RBAC, audit, policies, secrets, isolation и compliance",6,9
enterprise_scale,Production scale,"HA, горизонтальное масштабирование, backup, tenancy и эксплуатация",3,7
end_user_channels,Каналы и доставка,"Web/API/embed, мессенджеры, voice, desktop и operator UX",2,4
